RC_Chapter,RC_Region,RC_Division,Year,Total_Counties,Total_Households,Poverty_Households,ALICE_Households,Above_ALICE_Households,Poverty_Rate_Pct,ALICE_Rate_Pct,Combined_Rate_Pct
ARC of Greater New York,Greater New York Region,Northeast Division,2019,5,3211033,525793,1146713,1538527,16.37,35.71,52.09
ARC of Greater New York,Greater New York Region,Northeast Division,2021,5,3263895,592715,1175791,1495389,18.16,36.02,54.18
ARC of Greater New York,Greater New York Region,Northeast Division,2022,5,3373039,620685,1224841,1527513,18.4,36.31,54.71
ARC of Greater New York,Greater New York Region,Northeast Division,2023,5,3394750,618890,1296040,1479820,18.23,38.18,56.41
ARC of Greater Rochester New York,Western New York Region,Northeast Division,2010,8,471038,62702,119130,289206,13.31,25.29,38.6
ARC of Greater Rochester New York,Western New York Region,Northeast Division,2012,8,475821,63619,134818,277384,13.37,28.33,41.7
ARC of Greater Rochester New York,Western New York Region,Northeast Division,2014,8,475587,60761,142197,272629,12.78,29.9,42.68
ARC of Greater Rochester New York,Western New York Region,Northeast Division,2016,8,478013,63054,129387,285572,13.19,27.07,40.26
ARC of Greater Rochester New York,Western New York Region,Northeast Division,2018,8,476063,60417,134514,281132,12.69,28.26,40.95
ARC of Greater Rochester New York,Western New York Region,Northeast Division,2019,8,483272,60340,126392,296540,12.49,26.15,38.64
ARC of Greater Rochester New York,Western New York Region,Northeast Division,2021,8,500396,61549,126192,312655,12.3,25.22,37.52
ARC of Greater Rochester New York,Western New York Region,Northeast Division,2022,8,499981,66415,144218,289348,13.28,28.84,42.13
ARC of Greater Rochester New York,Western New York Region,Northeast Division,2023,8,502019,62619,148566,290834,12.47,29.59,42.07
ARC of Greater St Louis,Missouri and Arkansas Region,Southwest and Rocky Mountain Division,2010,6,245162,31519,63052,150591,12.86,25.72,38.57
ARC of Greater St Louis,Missouri and Arkansas Region,Southwest and Rocky Mountain Division,2012,6,242847,34783,63313,144751,14.32,26.07,40.39
ARC of Greater St Louis,Missouri and Arkansas Region,Southwest and Rocky Mountain Division,2014,6,241702,35688,67355,138659,14.77,27.87,42.63
ARC of Greater St Louis,Missouri and Arkansas Region,Southwest and Rocky Mountain Division,2016,6,245880,30892,69296,145692,12.56,28.18,40.75
ARC of Greater St Louis,Missouri and Arkansas Region,Southwest and Rocky Mountain Division,2018,6,249472,33364,86118,129990,13.37,34.52,47.89
ARC of Greater St Louis,Missouri and Arkansas Region,Southwest and Rocky Mountain Division,2019,6,249892,28716,68026,153150,11.49,27.22,38.71
ARC of Greater St Louis,Missouri and Arkansas Region,Southwest and Rocky Mountain Division,2021,6,242851,26899,67328,148624,11.08,27.72,38.8
ARC of Greater St Louis,Missouri and Arkansas Region,Southwest and Rocky Mountain Division,2022,6,246105,31434,68498,146173,12.77,27.83,40.61
ARC of Greater St Louis,Missouri and Arkansas Region,Southwest and Rocky Mountain Division,2023,6,248317,28804,67822,151691,11.6,27.31,38.91
ARC of Hawaii,Pacific Islands Region,Pacific Division,2010,5,445845,49202,144164,252479,11.04,32.34,43.37
ARC of Hawaii,Pacific Islands Region,Pacific Division,2012,5,447734,49929,139248,258557,11.15,31.1,42.25
ARC of Hawaii,Pacific Islands Region,Pacific Division,2014,5,450763,49776,133940,267047,11.04,29.71,40.76
ARC of Hawaii,Pacific Islands Region,Pacific Division,2016,5,455868,46306,151118,258444,10.16,33.15,43.31
ARC of Hawaii,Pacific Islands Region,Pacific Division,2018,5,455138,41619,148771,264748,9.14,32.69,41.83
ARC of Hawaii,Pacific Islands Region,Pacific Division,2019,5,465090,42896,152306,269888,9.22,32.75,41.97
ARC of Hawaii,Pacific Islands Region,Pacific Division,2021,5,490101,57262,145706,287133,11.68,29.73,41.41
ARC of Hawaii,Pacific Islands Region,Pacific Division,2022,5,493567,52780,162372,278415,10.69,32.9,43.59
ARC of Hawaii,Pacific Islands Region,Pacific Division,2023,5,493920,51115,173064,269741,10.35,35.04,45.39
"ARC of Heartland, Stark and Muskingum Lakes",Northern Ohio Region,Central Atlantic Division,2010,7,274595,35598,71891,167106,12.96,26.18,39.14
"ARC of Heartland, Stark and Muskingum Lakes",Northern Ohio Region,Central Atlantic Division,2012,7,279618,36651,77838,165129,13.11,27.84,40.94
"ARC of Heartland, Stark and Muskingum Lakes",Northern Ohio Region,Central Atlantic Division,2014,7,279467,38794,72525,168148,13.88,25.95,39.83
"ARC of Heartland, Stark and Muskingum Lakes",Northern Ohio Region,Central Atlantic Division,2016,7,280378,35704,66983,177691,12.73,23.89,36.62
"ARC of Heartland, Stark and Muskingum Lakes",Northern Ohio Region,Central Atlantic Division,2018,7,283060,34710,70295,178055,12.26,24.83,37.1
"ARC of Heartland, Stark and Muskingum Lakes",Northern Ohio Region,Central Atlantic Division,2019,7,285937,34649,68742,182546,12.12,24.04,36.16
"ARC of Heartland, Stark and Muskingum Lakes",Northern Ohio Region,Central Atlantic Division,2021,7,289789,33965,77417,178407,11.72,26.71,38.44
"ARC of Heartland, Stark and Muskingum Lakes",Northern Ohio Region,Central Atlantic Division,2022,7,288534,33683,80182,174669,11.67,27.79,39.46
"ARC of Heartland, Stark and Muskingum Lakes",Northern Ohio Region,Central Atlantic Division,2023,7,291083,36609,75834,178640,12.58,26.05,38.63
ARC of Houston,Texas Gulf Coast Region,Southwest and Rocky Mountain Division,2010,1,1395382,222281,396535,776566,15.93,28.42,44.35
ARC of Houston,Texas Gulf Coast Region,Southwest and Rocky Mountain Division,2012,1,1443611,233411,449933,760267,16.17,31.17,47.34
ARC of Houston,Texas Gulf Coast Region,Southwest and Rocky Mountain Division,2014,1,1538072,233142,463796,841134,15.16,30.15,45.31
ARC of Houston,Texas Gulf Coast Region,Southwest and Rocky Mountain Division,2016,1,1606399,238405,461986,906008,14.84,28.76,43.6
ARC of Houston,Texas Gulf Coast Region,Southwest and Rocky Mountain Division,2018,1,1600357,239527,535838,824992,14.97,33.48,48.45
ARC of Houston,Texas Gulf Coast Region,Southwest and Rocky Mountain Division,2019,1,1647384,230963,542290,874131,14.02,32.92,46.94
ARC of Houston,Texas Gulf Coast Region,Southwest and Rocky Mountain Division,2021,1,1735020,263158,555336,916526,15.17,32.01,47.17
ARC of Houston,Texas Gulf Coast Region,Southwest and Rocky Mountain Division,2022,1,1779980,266933,565074,947973,15.0,31.75,46.74
ARC of Houston,Texas Gulf Coast Region,Southwest and Rocky Mountain Division,2023,1,1791013,265780,523710,1001523,14.84,29.24,44.08
ARC of Hudson Valley New York,Eastern New York Region,Northeast Division,2010,6,378896,33663,102523,242710,8.88,27.06,35.94
ARC of Hudson Valley New York,Eastern New York Region,Northeast Division,2012,6,380259,38102,107637,234520,10.02,28.31,38.33
ARC of Hudson Valley New York,Eastern New York Region,Northeast Division,2014,6,375730,40469,107706,227555,10.77,28.67,39.44
ARC of Hudson Valley New York,Eastern New York Region,Northeast Division,2016,6,378045,37094,113330,227621,9.81,29.98,39.79
ARC of Hudson Valley New York,Eastern New York Region,Northeast Division,2018,6,382691,38926,110503,233262,10.17,28.88,39.05
ARC of Hudson Valley New York,Eastern New York Region,Northeast Division,2019,6,388246,40228,101409,246609,10.36,26.12,36.48
ARC of Hudson Valley New York,Eastern New York Region,Northeast Division,2021,6,408058,40793,111668,255597,10.0,27.37,37.36
ARC of Hudson Valley New York,Eastern New York Region,Northeast Division,2022,6,410078,45790,117865,246423,11.17,28.74,39.91
ARC of Hudson Valley New York,Eastern New York Region,Northeast Division,2023,6,407620,35460,130766,241394,8.7,32.08,40.78
ARC of Idaho and East Oregon,"Idaho, Montana and East Oregon Region",Pacific Division,2010,43,519947,76034,139796,304117,14.62,26.89,41.51
ARC of Idaho and East Oregon,"Idaho, Montana and East Oregon Region",Pacific Division,2012,43,527862,79640,154087,294135,15.09,29.19,44.28
ARC of Idaho and East Oregon,"Idaho, Montana and East Oregon Region",Pacific Division,2014,43,537695,80281,155048,302366,14.93,28.84,43.77
ARC of Idaho and East Oregon,"Idaho, Montana and East Oregon Region",Pacific Division,2016,43,549862,79525,154392,315945,14.46,28.08,42.54
ARC of Idaho and East Oregon,"Idaho, Montana and East Oregon Region",Pacific Division,2018,43,572132,72611,161557,337964,12.69,28.24,40.93
ARC of Idaho and East Oregon,"Idaho, Montana and East Oregon Region",Pacific Division,2019,43,583839,69352,160521,353966,11.88,27.49,39.37
ARC of Idaho and East Oregon,"Idaho, Montana and East Oregon Region",Pacific Division,2021,43,612396,69979,196363,346054,11.43,32.06,43.49
ARC of Idaho and East Oregon,"Idaho, Montana and East Oregon Region",Pacific Division,2022,43,627669,68977,205861,352831,10.99,32.8,43.79
ARC of Idaho and East Oregon,"Idaho, Montana and East Oregon Region",Pacific Division,2023,43,644521,69324,195819,379378,10.76,30.38,41.14
ARC of Long Island New York,Greater New York Region,Northeast Division,2010,2,938995,55328,240993,642674,5.89,25.66,31.56
ARC of Long Island New York,Greater New York Region,Northeast Division,2012,2,938085,62001,288719,587365,6.61,30.78,37.39
ARC of Long Island New York,Greater New York Region,Northeast Division,2014,2,933455,63006,277947,592502,6.75,29.78,36.53
ARC of Long Island New York,Greater New York Region,Northeast Division,2016,2,915096,60189,244650,610257,6.58,26.73,33.31
ARC of Long Island New York,Greater New York Region,Northeast Division,2018,2,943907,63632,238888,641387,6.74,25.31,32.05
ARC of Long Island New York,Greater New York Region,Northeast Division,2019,2,949542,55768,231178,662596,5.87,24.35,30.22
ARC of Long Island New York,Greater New York Region,Northeast Division,2021,2,971403,65209,219970,686224,6.71,22.64,29.36
ARC of Long Island New York,Greater New York Region,Northeast Division,2022,2,968113,61987,249283,656843,6.4,25.75,32.15
ARC of Long Island New York,Greater New York Region,Northeast Division,2023,2,966971,65666,290156,611149,6.79,30.01,36.8
ARC of Lowcountry South Carolina,South Carolina Region,Southeast and Caribbean Division,2010,9,379994,57554,90289,232151,15.15,23.76,38.91
ARC of Lowcountry South Carolina,South Carolina Region,Southeast and Caribbean Division,2012,9,391540,60229,103961,227350,15.38,26.55,41.93
ARC of Lowcountry South Carolina,South Carolina Region,Southeast and Caribbean Division,2014,9,408687,60198,111643,236846,14.73,27.32,42.05
ARC of Lowcountry South Carolina,South Carolina Region,Southeast and Caribbean Division,2016,9,423161,58475,111868,252818,13.82,26.44,40.25
ARC of Lowcountry South Carolina,South Carolina Region,Southeast and Caribbean Division,2018,9,438676,55918,119901,262857,12.75,27.33,40.08
ARC of Lowcountry South Carolina,South Carolina Region,Southeast and Caribbean Division,2019,9,447540,52393,126405,268742,11.71,28.24,39.95
ARC of Lowcountry South Carolina,South Carolina Region,Southeast and Caribbean Division,2021,9,463285,57247,135117,270921,12.36,29.16,41.52
ARC of Lowcountry South Carolina,South Carolina Region,Southeast and Caribbean Division,2022,9,491300,56848,139916,294536,11.57,28.48,40.05
ARC of Lowcountry South Carolina,South Carolina Region,Southeast and Caribbean Division,2023,9,508455,59452,140580,308423,11.69,27.65,39.34
ARC of Metro New York North,Greater New York Region,Northeast Division,2010,3,771773,68808,209521,493444,8.92,27.15,36.06
ARC of Metro New York North,Greater New York Region,Northeast Division,2012,3,772286,74783,218564,478939,9.68,28.3,37.98
ARC of Metro New York North,Greater New York Region,Northeast Division,2014,3,779851,73993,231696,474162,9.49,29.71,39.2
ARC of Metro New York North,Greater New York Region,Northeast Division,2016,3,776791,75471,224975,476345,9.72,28.96,38.68
ARC of Metro New York North,Greater New York Region,Northeast Division,2018,3,797634,79051,232921,485662,9.91,29.2,39.11
ARC of Metro New York North,Greater New York Region,Northeast Division,2019,3,797117,73441,218384,505292,9.21,27.4,36.61
ARC of Metro New York North,Greater New York Region,Northeast Division,2021,3,831616,85861,221764,523991,10.32,26.67,36.99
ARC of Metro New York North,Greater New York Region,Northeast Division,2022,2,477508,52155,130620,294733,10.92,27.35,38.28
ARC of Metro New York North,Greater New York Region,Northeast Division,2023,2,478337,51126,145668,281543,10.69,30.45,41.14
ARC of Miami Valley Ohio,Central and Southern Ohio Region,Central Atlantic Division,2010,11,497117,71337,109933,315847,14.35,22.11,36.46
ARC of Miami Valley Ohio,Central and Southern Ohio Region,Central Atlantic Division,2012,11,494846,74991,115648,304207,15.15,23.37,38.52
ARC of Miami Valley Ohio,Central and Southern Ohio Region,Central Atlantic Division,2014,11,498253,75615,121850,300788,15.18,24.46,39.63
ARC of Miami Valley Ohio,Central and Southern Ohio Region,Central Atlantic Division,2016,11,498486,71121,107258,320107,14.27,21.52,35.78
ARC of Miami Valley Ohio,Central and Southern Ohio Region,Central Atlantic Division,2018,11,502762,68738,116339,317685,13.67,23.14,36.81
ARC of Miami Valley Ohio,Central and Southern Ohio Region,Central Atlantic Division,2019,11,502911,63848,114109,324954,12.7,22.69,35.39
ARC of Miami Valley Ohio,Central and Southern Ohio Region,Central Atlantic Division,2021,11,512593,66062,121158,325373,12.89,23.64,36.52
ARC of Miami Valley Ohio,Central and Southern Ohio Region,Central Atlantic Division,2022,11,521982,67237,128167,326578,12.88,24.55,37.44
ARC of Miami Valley Ohio,Central and Southern Ohio Region,Central Atlantic Division,2023,11,524983,71015,123491,330477,13.53,23.52,37.05
ARC of Mid Florida,South Florida Region,Southeast and Caribbean Division,2010,5,292483,46144,95450,150889,15.78,32.63,48.41
ARC of Mid Florida,South Florida Region,Southeast and Caribbean Division,2012,5,294314,50189,105703,138422,17.05,35.92,52.97
ARC of Mid Florida,South Florida Region,Southeast and Caribbean Division,2014,5,289285,49307,103413,136565,17.04,35.75,52.79
ARC of Mid Florida,South Florida Region,Southeast and Caribbean Division,2016,5,297064,46573,107052,143439,15.68,36.04,51.71
ARC of Mid Florida,South Florida Region,Southeast and Caribbean Division,2018,5,315271,47383,119706,148182,15.03,37.97,53.0
ARC of Mid Florida,South Florida Region,Southeast and Caribbean Division,2019,5,315819,44728,115180,155911,14.16,36.47,50.63
ARC of Mid Florida,South Florida Region,Southeast and Caribbean Division,2021,5,357668,56889,123591,177188,15.91,34.55,50.46
ARC of Mid Florida,South Florida Region,Southeast and Caribbean Division,2022,5,375086,58992,125304,190790,15.73,33.41,49.13
ARC of Mid Florida,South Florida Region,Southeast and Caribbean Division,2023,5,390184,56039,131363,202782,14.36,33.67,48.03
ARC of Mid Michigan,Michigan Region,North Central Division,2010,10,403216,62120,87671,253425,15.41,21.74,37.15
ARC of Mid Michigan,Michigan Region,North Central Division,2012,10,406259,67269,93747,245243,16.56,23.08,39.63
ARC of Mid Michigan,Michigan Region,North Central Division,2014,10,412144,58589,101339,252216,14.22,24.59,38.8
ARC of Mid Michigan,Michigan Region,North Central Division,2016,10,413574,56376,94208,262990,13.63,22.78,36.41
ARC of Mid Michigan,Michigan Region,North Central Division,2018,10,421178,54258,101192,265728,12.88,24.03,36.91
ARC of Mid Michigan,Michigan Region,North Central Division,2019,10,420790,51999,102974,265817,12.36,24.47,36.83
ARC of Mid Michigan,Michigan Region,North Central Division,2021,10,426184,53356,105708,267120,12.52,24.8,37.32
ARC of Mid Michigan,Michigan Region,North Central Division,2022,10,432175,54996,117953,259226,12.73,27.29,40.02
ARC of Mid Michigan,Michigan Region,North Central Division,2023,10,429597,58385,111835,259377,13.59,26.03,39.62
ARC of Mid-South Tennessee,Tennessee Region,Southeast and Caribbean Division,2010,10,493292,82704,153807,256781,16.77,31.18,47.95
ARC of Mid-South Tennessee,Tennessee Region,Southeast and Caribbean Division,2012,10,501123,90726,146652,263745,18.1,29.26,47.37
ARC of Mid-South Tennessee,Tennessee Region,Southeast and Caribbean Division,2014,10,505929,93707,165682,246540,18.52,32.75,51.27
ARC of Mid-South Tennessee,Tennessee Region,Southeast and Caribbean Division,2016,10,514119,89465,159172,265482,17.4,30.96,48.36
ARC of Mid-South Tennessee,Tennessee Region,Southeast and Caribbean Division,2018,10,515009,94314,155293,265402,18.31,30.15,48.47
ARC of Mid-South Tennessee,Tennessee Region,Southeast and Caribbean Division,2019,10,518977,81166,158963,278848,15.64,30.63,46.27
ARC of Mid-South Tennessee,Tennessee Region,Southeast and Caribbean Division,2021,10,533947,86902,155564,291481,16.28,29.13,45.41
ARC of Mid-South Tennessee,Tennessee Region,Southeast and Caribbean Division,2022,10,531675,78813,156888,295974,14.82,29.51,44.33
ARC of Mid-South Tennessee,Tennessee Region,Southeast and Caribbean Division,2023,10,533290,86282,153091,293917,16.18,28.71,44.89
ARC of Mid-West Tennessee,Tennessee Region,Southeast and Caribbean Division,2010,14,163477,30745,48102,84630,18.81,29.42,48.23
ARC of Mid-West Tennessee,Tennessee Region,Southeast and Caribbean Division,2012,14,163678,32718,51088,79872,19.99,31.21,51.2
ARC of Mid-West Tennessee,Tennessee Region,Southeast and Caribbean Division,2014,14,165036,34403,52896,77737,20.85,32.05,52.9
ARC of Mid-West Tennessee,Tennessee Region,Southeast and Caribbean Division,2016,14,164200,33088,51815,79297,20.15,31.56,51.71
ARC of Mid-West Tennessee,Tennessee Region,Southeast and Caribbean Division,2018,14,166188,30993,54645,80550,18.65,32.88,51.53
ARC of Mid-West Tennessee,Tennessee Region,Southeast and Caribbean Division,2019,14,165941,30411,50953,84577,18.33,30.71,49.03
ARC of Mid-West Tennessee,Tennessee Region,Southeast and Caribbean Division,2021,14,166288,29788,50708,85792,17.91,30.49,48.41
ARC of Mid-West Tennessee,Tennessee Region,Southeast and Caribbean Division,2022,14,165984,27851,53851,84282,16.78,32.44,49.22
ARC of Mid-West Tennessee,Tennessee Region,Southeast and Caribbean Division,2023,14,169336,31387,52186,85763,18.54,30.82,49.35
"ARC of Montgomery, Howard and Frederick Counties",National Capital and Greater Chesapeake Region,Central Atlantic Division,2010,3,548798,35443,137965,375390,6.46,25.14,31.6
"ARC of Montgomery, Howard and Frederick Counties",National Capital and Greater Chesapeake Region,Central Atlantic Division,2012,3,555267,31861,129833,393573,5.74,23.38,29.12
"ARC of Montgomery, Howard and Frederick Counties",National Capital and Greater Chesapeake Region,Central Atlantic Division,2014,3,563589,34545,161005,368039,6.13,28.57,34.7
"ARC of Montgomery, Howard and Frederick Counties",National Capital and Greater Chesapeake Region,Central Atlantic Division,2016,3,575688,37526,165452,372710,6.52,28.74,35.26
"ARC of Montgomery, Howard and Frederick Counties",National Capital and Greater Chesapeake Region,Central Atlantic Division,2018,3,581140,35727,156574,388839,6.15,26.94,33.09
"ARC of Montgomery, Howard and Frederick Counties",National Capital and Greater Chesapeake Region,Central Atlantic Division,2019,3,578437,38010,143646,396781,6.57,24.83,31.4
"ARC of Montgomery, Howard and Frederick Counties",National Capital and Greater Chesapeake Region,Central Atlantic Division,2021,3,612627,47039,144705,420883,7.68,23.62,31.3
"ARC of Montgomery, Howard and Frederick Counties",National Capital and Greater Chesapeake Region,Central Atlantic Division,2022,3,617632,40042,172537,405053,6.48,27.94,34.42
"ARC of Montgomery, Howard and Frederick Counties",National Capital and Greater Chesapeake Region,Central Atlantic Division,2023,3,621360,42401,166996,411963,6.82,26.88,33.7
ARC of Nashville Area,Tennessee Region,Southeast and Caribbean Division,2010,9,473187,66051,136715,270421,13.96,28.89,42.85
ARC of Nashville Area,Tennessee Region,Southeast and Caribbean Division,2012,9,485129,62841,152186,270102,12.95,31.37,44.32
ARC of Nashville Area,Tennessee Region,Southeast and Caribbean Division,2014,9,506924,69440,169219,268265,13.7,33.38,47.08
ARC of Nashville Area,Tennessee Region,Southeast and Caribbean Division,2016,9,528006,58129,171728,298149,11.01,32.52,43.53
ARC of Nashville Area,Tennessee Region,Southeast and Caribbean Division,2018,9,546141,58857,177051,310233,10.78,32.42,43.2
ARC of Nashville Area,Tennessee Region,Southeast and Caribbean Division,2019,9,557164,52259,189393,315512,9.38,33.99,43.37
ARC of Nashville Area,Tennessee Region,Southeast and Caribbean Division,2021,9,596381,65767,187238,343376,11.03,31.4,42.42
ARC of Nashville Area,Tennessee Region,Southeast and Caribbean Division,2022,9,624909,64347,199473,361089,10.3,31.92,42.22
ARC of Nashville Area,Tennessee Region,Southeast and Caribbean Division,2023,9,642623,62569,189686,390368,9.74,29.52,39.25
ARC of New Mexico,Arizona and New Mexico Region,Southwest and Rocky Mountain Division,2010,33,767199,136034,195732,435433,17.73,25.51,43.24
ARC of New Mexico,Arizona and New Mexico Region,Southwest and Rocky Mountain Division,2012,33,765778,144074,203652,418052,18.81,26.59,45.41
ARC of New Mexico,Arizona and New Mexico Region,Southwest and Rocky Mountain Division,2014,33,763531,146457,223264,393810,19.18,29.24,48.42
ARC of New Mexico,Arizona and New Mexico Region,Southwest and Rocky Mountain Division,2016,33,764065,138590,223621,401854,18.14,29.27,47.41
ARC of New Mexico,Arizona and New Mexico Region,Southwest and Rocky Mountain Division,2018,33,778571,144324,220847,413400,18.54,28.37,46.9
ARC of New Mexico,Arizona and New Mexico Region,Southwest and Rocky Mountain Division,2019,33,789457,139283,221861,428313,17.64,28.1,45.75
ARC of New Mexico,Arizona and New Mexico Region,Southwest and Rocky Mountain Division,2021,33,821310,141975,242080,437255,17.29,29.47,46.76
ARC of New Mexico,Arizona and New Mexico Region,Southwest and Rocky Mountain Division,2022,33,833912,141445,247078,445389,16.96,29.63,46.59
ARC of New Mexico,Arizona and New Mexico Region,Southwest and Rocky Mountain Division,2023,33,842325,141634,243853,456838,16.81,28.95,45.76
ARC of North Central Florida,North and Central Florida Region,Southeast and Caribbean Division,2010,12,196094,40341,58950,96803,20.57,30.06,50.63
ARC of North Central Florida,North and Central Florida Region,Southeast and Caribbean Division,2012,12,194193,42366,60209,91618,21.82,31.0,52.82
ARC of North Central Florida,North and Central Florida Region,Southeast and Caribbean Division,2014,12,198720,42274,61803,94643,21.27,31.1,52.37
ARC of North Central Florida,North and Central Florida Region,Southeast and Caribbean Division,2016,12,195647,40840,71657,83150,20.87,36.63,57.5
ARC of North Central Florida,North and Central Florida Region,Southeast and Caribbean Division,2018,12,201510,39151,67768,94591,19.43,33.63,53.06
ARC of North Central Florida,North and Central Florida Region,Southeast and Caribbean Division,2019,12,206201,38629,73927,93645,18.73,35.85,54.59
ARC of North Central Florida,North and Central Florida Region,Southeast and Caribbean Division,2021,12,212429,38165,72415,101849,17.97,34.09,52.06
ARC of North Central Florida,North and Central Florida Region,Southeast and Caribbean Division,2022,12,223404,40837,75669,106898,18.28,33.87,52.15
ARC of North Central Florida,North and Central Florida Region,Southeast and Caribbean Division,2023,12,229885,41946,72600,115339,18.25,31.58,49.83
ARC of North Central Ohio,Northern Ohio Region,Central Atlantic Division,2010,7,246109,30064,50670,165375,12.22,20.59,32.8
ARC of North Central Ohio,Northern Ohio Region,Central Atlantic Division,2012,7,244005,32039,56241,155725,13.13,23.05,36.18
ARC of North Central Ohio,Northern Ohio Region,Central Atlantic Division,2014,7,246169,31572,54906,159691,12.83,22.3,35.13
ARC of North Central Ohio,Northern Ohio Region,Central Atlantic Division,2016,7,246352,29406,53304,163642,11.94,21.64,33.57
ARC of North Central Ohio,Northern Ohio Region,Central Atlantic Division,2018,7,251449,31945,58153,161351,12.7,23.13,35.83
ARC of North Central Ohio,Northern Ohio Region,Central Atlantic Division,2019,7,250410,32147,55269,162994,12.84,22.07,34.91
ARC of North Central Ohio,Northern Ohio Region,Central Atlantic Division,2021,7,257100,29628,65624,161848,11.52,25.52,37.05
ARC of North Central Ohio,Northern Ohio Region,Central Atlantic Division,2022,7,257125,30599,66520,160006,11.9,25.87,37.77
ARC of North Central Ohio,Northern Ohio Region,Central Atlantic Division,2023,7,261881,30189,63570,168122,11.53,24.27,35.8
ARC of North Central Wisconsin,Wisconsin Region,North Central Division,2010,17,221371,27403,49684,144284,12.38,22.44,34.82
ARC of North Central Wisconsin,Wisconsin Region,North Central Division,2012,17,217501,27583,51734,138184,12.68,23.79,36.47
ARC of North Central Wisconsin,Wisconsin Region,North Central Division,2014,17,219048,27745,51280,140023,12.67,23.41,36.08
ARC of North Central Wisconsin,Wisconsin Region,North Central Division,2016,17,218999,26814,52146,140039,12.24,23.81,36.05
ARC of North Central Wisconsin,Wisconsin Region,North Central Division,2018,17,221917,25436,52776,143705,11.46,23.78,35.24
ARC of North Central Wisconsin,Wisconsin Region,North Central Division,2019,17,220586,25751,50217,144618,11.67,22.77,34.44
ARC of North Central Wisconsin,Wisconsin Region,North Central Division,2021,17,222136,24770,55663,141703,11.15,25.06,36.21
ARC of North Central Wisconsin,Wisconsin Region,North Central Division,2022,17,223531,26306,57429,139796,11.77,25.69,37.46
ARC of North Central Wisconsin,Wisconsin Region,North Central Division,2023,17,227591,25263,56514,145814,11.1,24.83,35.93
ARC of North Louisiana,Louisiana Region,Southwest and Rocky Mountain Division,2010,29,449209,89078,131825,228306,19.83,29.35,49.18
ARC of North Louisiana,Louisiana Region,Southwest and Rocky Mountain Division,2012,29,453652,92535,134324,226793,20.4,29.61,50.01
ARC of North Louisiana,Louisiana Region,Southwest and Rocky Mountain Division,2014,29,448589,99927,135791,212871,22.28,30.27,52.55
ARC of North Louisiana,Louisiana Region,Southwest and Rocky Mountain Division,2016,29,445906,105139,147298,193469,23.58,33.03,56.61
ARC of North Louisiana,Louisiana Region,Southwest and Rocky Mountain Division,2018,29,448030,96203,151233,200594,21.47,33.76,55.23
ARC of North Louisiana,Louisiana Region,Southwest and Rocky Mountain Division,2019,29,447384,102838,144471,200075,22.99,32.29,55.28
ARC of North Louisiana,Louisiana Region,Southwest and Rocky Mountain Division,2021,29,441304,97121,150242,193941,22.01,34.05,56.05
ARC of North Louisiana,Louisiana Region,Southwest and Rocky Mountain Division,2022,29,446826,98509,149923,198394,22.05,33.55,55.6
ARC of North Louisiana,Louisiana Region,Southwest and Rocky Mountain Division,2023,29,457762,103764,141082,212916,22.67,30.82,53.49
ARC of North Mississippi,Alabama and Mississippi Region,Southeast and Caribbean Division,2010,31,325713,79761,87279,158673,24.49,26.8,51.28
ARC of North Mississippi,Alabama and Mississippi Region,Southeast and Caribbean Division,2012,31,320986,79959,88199,152828,24.91,27.48,52.39
ARC of North Mississippi,Alabama and Mississippi Region,Southeast and Caribbean Division,2014,31,322300,78398,97167,146735,24.32,30.15,54.47
ARC of North Mississippi,Alabama and Mississippi Region,Southeast and Caribbean Division,2016,31,325787,78246,97495,150046,24.02,29.93,53.94
ARC of North Mississippi,Alabama and Mississippi Region,Southeast and Caribbean Division,2018,31,324648,72946,93801,157901,22.47,28.89,51.36
ARC of North Mississippi,Alabama and Mississippi Region,Southeast and Caribbean Division,2019,31,322481,71391,96093,154997,22.14,29.8,51.94
ARC of North Mississippi,Alabama and Mississippi Region,Southeast and Caribbean Division,2021,31,321221,68623,102853,149745,21.36,32.02,53.38
ARC of North Mississippi,Alabama and Mississippi Region,Southeast and Caribbean Division,2022,31,324013,69377,107270,147366,21.41,33.11,54.52
ARC of North Mississippi,Alabama and Mississippi Region,Southeast and Caribbean Division,2023,31,326806,72324,97106,157376,22.13,29.71,51.84
ARC of Northeast Florida,North and Central Florida Region,Southeast and Caribbean Division,2010,7,568118,82164,150727,335227,14.46,26.53,40.99
ARC of Northeast Florida,North and Central Florida Region,Southeast and Caribbean Division,2012,7,573956,84023,165506,324427,14.64,28.84,43.48
ARC of Northeast Florida,North and Central Florida Region,Southeast and Caribbean Division,2014,7,592666,85470,182995,324201,14.42,30.88,45.3
ARC of Northeast Florida,North and Central Florida Region,Southeast and Caribbean Division,2016,7,620416,74644,179499,366273,12.03,28.93,40.96
ARC of Northeast Florida,North and Central Florida Region,Southeast and Caribbean Division,2018,7,642709,75672,178788,388249,11.77,27.82,39.59
ARC of Northeast Florida,North and Central Florida Region,Southeast and Caribbean Division,2019,7,658457,74430,184078,399949,11.3,27.96,39.26
ARC of Northeast Florida,North and Central Florida Region,Southeast and Caribbean Division,2021,7,714386,86606,202933,424847,12.12,28.41,40.53
ARC of Northeast Florida,North and Central Florida Region,Southeast and Caribbean Division,2022,7,755377,83785,215581,456011,11.09,28.54,39.63
