RC_Chapter,RC_Region,RC_Division,Year,Total_Counties,Total_Households,Poverty_Households,ALICE_Households,Above_ALICE_Households,Poverty_Rate_Pct,ALICE_Rate_Pct,Combined_Rate_Pct
ARC serving Texas Big Country,North Texas Region,Southwest and Rocky Mountain Division,2019,35,278741,38823,83334,156584,13.93,29.9,43.82
ARC serving Texas Big Country,North Texas Region,Southwest and Rocky Mountain Division,2021,35,285706,41809,84523,159374,14.63,29.58,44.22
ARC serving Texas Big Country,North Texas Region,Southwest and Rocky Mountain Division,2022,35,288751,40213,91124,157414,13.93,31.56,45.48
ARC serving Texas Big Country,North Texas Region,Southwest and Rocky Mountain Division,2023,35,291878,41536,88620,161722,14.23,30.36,44.59
ARC serving Twin Cities Area,Minnesota and Dakotas Region,North Central Division,2010,9,1145735,115949,257588,772198,10.12,22.48,32.6
ARC serving Twin Cities Area,Minnesota and Dakotas Region,North Central Division,2012,9,1172789,118157,251116,803516,10.07,21.41,31.49
ARC serving Twin Cities Area,Minnesota and Dakotas Region,North Central Division,2014,9,1188229,121367,279276,787586,10.21,23.5,33.72
ARC serving Twin Cities Area,Minnesota and Dakotas Region,North Central Division,2016,9,1208644,102149,299219,807276,8.45,24.76,33.21
ARC serving Twin Cities Area,Minnesota and Dakotas Region,North Central Division,2018,9,1225970,105752,302753,817465,8.63,24.69,33.32
ARC serving Twin Cities Area,Minnesota and Dakotas Region,North Central Division,2019,9,1236405,102154,309075,825176,8.26,25.0,33.26
ARC serving Twin Cities Area,Minnesota and Dakotas Region,North Central Division,2021,9,1285734,109620,332452,843662,8.53,25.86,34.38
ARC serving Twin Cities Area,Minnesota and Dakotas Region,North Central Division,2022,9,1314167,123075,345877,845215,9.37,26.32,35.68
ARC serving Twin Cities Area,Minnesota and Dakotas Region,North Central Division,2023,9,1329307,112690,330907,885710,8.48,24.89,33.37
ARC serving West TX,Central and South Texas Region,Southwest and Rocky Mountain Division,2010,3,250560,56573,74838,119149,22.58,29.87,52.45
ARC serving West TX,Central and South Texas Region,Southwest and Rocky Mountain Division,2012,3,262596,60963,63079,138554,23.22,24.02,47.24
ARC serving West TX,Central and South Texas Region,Southwest and Rocky Mountain Division,2014,3,257626,57874,90489,109263,22.46,35.12,57.59
ARC serving West TX,Central and South Texas Region,Southwest and Rocky Mountain Division,2016,3,269078,58335,90135,120608,21.68,33.5,55.18
ARC serving West TX,Central and South Texas Region,Southwest and Rocky Mountain Division,2018,3,271741,56669,89582,125490,20.85,32.97,53.82
ARC serving West TX,Central and South Texas Region,Southwest and Rocky Mountain Division,2019,3,270708,52510,79811,138387,19.4,29.48,48.88
ARC serving West TX,Central and South Texas Region,Southwest and Rocky Mountain Division,2021,3,299562,59893,82418,157251,19.99,27.51,47.51
ARC serving West TX,Central and South Texas Region,Southwest and Rocky Mountain Division,2022,3,302155,63378,96058,142719,20.98,31.79,52.77
ARC serving West TX,Central and South Texas Region,Southwest and Rocky Mountain Division,2023,3,302747,59294,94368,149085,19.59,31.17,50.76
ARC serving the Heart of TX,Central and South Texas Region,Southwest and Rocky Mountain Division,2010,17,372778,67378,99912,205488,18.07,26.8,44.88
ARC serving the Heart of TX,Central and South Texas Region,Southwest and Rocky Mountain Division,2012,17,377761,69348,99955,208458,18.36,26.46,44.82
